,Unnamed: 0,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status,Cluster Names
94,1012,2015-03-01 00:04:50,118.244.228.205,GET,/wap/search.asp,keyword=%E5%B0%B8%E5%85%84,111.161.52.28,Mozilla,0,35,142,1,200,0,0,82,3
95,1036,2015-03-01 00:04:53,118.244.228.205,GET,/wap/info.asp,id=12654,111.161.52.28,Mozilla,0,20,142,1,200,0,64,123,3
96,1123,2015-03-01 00:05:08,118.244.228.205,GET,/wap/read.asp,chapterId=142723&comicId=12654,111.161.52.28,Mozilla,0,31,142,1,200,0,64,159,3
97,1128,2015-03-01 00:05:09,118.244.228.205,GET,/wap/init.asp,comicId=12654&chapterId=142723&_=1425168315004,111.161.52.28,Mozilla,0,21,142,1,200,0,0,80,3
98,1130,2015-03-01 00:05:09,118.244.228.205,GET,/wap/lastread.asp,comicId=12654&chapterId=142723&_=1425168315005,111.161.52.28,Mozilla,0,23,142,1,200,0,0,89,3
99,1219,2015-03-01 00:05:23,118.244.228.205,GET,/wap/init.asp,comicId=12554&chapterId=138860&_=1425168228991,123.151.139.156,Mozilla,0,21,518,1,200,0,0,74,5
100,1238,2015-03-01 00:05:26,118.244.228.205,GET,/wap/next.asp,comicId=12441&chapterId=133733&_=1425168137988,14.114.242.208,Mozilla,1,29,604,1,200,0,0,106,5
101,1268,2015-03-01 00:05:31,118.244.228.205,GET,/wap/info.asp,id=12441,14.114.242.208,Mozilla,1,20,604,1,200,0,0,186,5
102,1281,2015-03-01 00:05:33,118.244.228.205,GET,/wap/next.asp,comicId=12337&chapterId=125670&_=1425136472337,125.39.210.27,Mozilla,0,29,576,1,200,0,64,75,5
103,1284,2015-03-01 00:05:34,118.244.228.205,GET,/wap/init.asp,comicId=12337&chapterId=125671&_=1425136472338,125.39.210.27,Mozilla,0,21,576,1,200,0,0,72,5
104,1294,2015-03-01 00:05:37,118.244.228.205,GET,/wap/info.asp,id=12450,115.197.218.80,Mozilla,1,20,310,1,200,0,0,1820,1
105,1296,2015-03-01 00:05:37,118.244.228.205,GET,/wap/info.asp,id=12337&page=2,125.39.210.27,Mozilla,0,20,576,1,200,0,64,142,5
106,1361,2015-03-01 00:06:00,118.244.228.205,GET,/wap/read.asp,chapterId=140946&comicId=12603,112.65.193.14,Mozilla,2,31,199,0,200,0,0,223,3
